rank,university,refined_estimated_student_population,student_population
1,Massachusetts Institute of Technology (MIT),11376,
2,University of Cambridge,21656,
3,University of Oxford,26455,
4,Harvard University,22947,
5,Stanford University,16914,
6,Imperial College London,20454,
7,ETH Zurich,22193,
8,National University of Singapore (NUS),"38,596",
9,UCL,51058,
10,"University of California, Berkeley (UCB)",45057,
11,University of Chicago,14467,
12,University of Pennsylvania,26552,
13,Cornell University,15735,
14,The University of Melbourne,54411,
15,California Institute of Technology (Caltech),2238,
16,Yale University,6200,
17,Peking University,32777,
17,Princeton University,8623,
19,The University of New South Wales (UNSW Sydney),62509,
19,The University of Sydney,73000,
21,University of Toronto,61690,
22,The University of Edinburgh,41250,
23,Columbia University,33700,
24,UniversitÃ© PSL,17000,
25,Tsinghua University,59270,
26,"Nanyang Technological University, Singapore (NTU Singapore)",24757,
26,The University of Hong Kong,36000,
28,Johns Hopkins University,6044,
28,The University of Tokyo,28100,
29,"University of California, Los Angeles (UCLA)",46430,
30,McGill University,31100,
32,The University of Manchester,40000,
33,University of Michigan-Ann Arbor,52065,
34,Australian National University (ANU),22000,
34,University of British Columbia,72585,
36,EPFL â€“ Ã‰cole polytechnique fÃ©dÃ©rale de Lausanne,12720,
37,Technical University of Munich,52580,
38,Institut Polytechnique de Paris,8500,
38,New York University (NYU),29401,
40,King's College London,33000,
41,Seoul National University,29065,
42,Monash University,85924,
43,The University of Queensland,55000,
44,Zhejiang University,53673,
45,The London School of Economics and Political Science (LSE),11000,
46,Kyoto University,22800,
47,Delft University of Technology,25000,
47,Northwestern University,9002,
47,The Chinese University of Hong Kong (CUHK),30794,
50,Fudan University,45000,
51,Shanghai Jiao Tong University,37000,
52,Carnegie Mellon University,15057,
53,University of Amsterdam,41000,
54,Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,52972,
55,University of Bristol,30000,
56,KAIST - Korea Advanced Institute of Science & Technology,11059,
57,Duke University,16539,
58,University of Texas at Austin,51913,
59,Sorbonne University,55000,
60,The Hong Kong University of Science and Technology,15400,
61,KU Leuven,60000,
62,"University of California, San Diego (UCSD)",33096,
63,University of Washington,60081,
64,University of Illinois at Urbana-Champaign,56607,
65,The Hong Kong Polytechnic University,13032,
65,Universiti Malaya (UM),35054,
67,The University of Warwick,28600,
68,The University of Auckland,40000,
69,National Taiwan University (NTU),35000,
70,City University of Hong Kong,27440,
71,UniversitÃ© Paris-Saclay,48000,
72,The University of Western Australia,18717,
73,Brown University,10737,
73,KTH Royal Institute of Technology,12000,
75,University of Leeds,36330,
76,University of Glasgow,32400,
76,Yonsei University,38000,
78,Durham University,22130,
79,Korea University,33000,
80,Osaka University,15194,
81,"Trinity College Dublin, The University of Dublin",21000,
81,University of Southampton,22600,
83,Pennsylvania State University,88116,
84,University of Birmingham,45700,
85,Lund University,45000,
85,Universidade de SÃ£o Paulo,58000,
87,Lomonosov Moscow State University,47000,
87,UniversitÃ¤t Heidelberg,28000,
89,The University of Adelaide,29000,
90,University of Technology Sydney,44000,
91,Tokyo Institute of Technology (Tokyo Tech),6100,
91,University of Zurich,"28,000",
93,Boston University,37557,
93,Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),360000,
95,Universidad de Buenos Aires (UBA),328000,
95,University of St Andrews,10425,
97,Georgia Institute of Technology,18415,
98,Freie Universitaet Berlin,33500,
99,Purdue University,106331,
100,Pohang University of Science And Technology (POSTECH),3000,
100,University of Nottingham,37260,
102,University of Wisconsin-Madison,48000,
103,Pontificia Universidad CatÃ³lica de Chile (UC),46937,
104,The University of Sheffield,30307,
105,Uppsala University,52000,
